EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE,T
3,32,0,0,1,0,1,0,0,9,0,5.56068,1
4,43,0,0,1,0,1,0,0,9,0,5.72031,2
5,40,0,0,1,0,1,0,0,9,0,5.99645,3
6,39,0,0,1,0,1,0,0,9,0,5.99645,4
7,42,0,1,1,0,1,0,0,9,0,6.06146,5
8,35,0,1,1,0,1,0,0,9,0,6.17379,6
9,32,0,1,1,0,1,0,0,9,0,6.24417,7
30,34,1,0,0,0,1,0,0,11,0,6.16331,1
31,27,1,0,0,0,1,0,0,11,0,6.21461,2
32,33,1,1,0,0,1,0,1,11,0,6.2634,3
33,30,1,1,0,0,1,0,0,11,0,6.54391,4
34,30,1,1,0,0,1,0,0,11,0,6.69703,5
35,37,1,1,0,0,1,0,0,11,0,6.79122,6
36,30,1,1,0,0,1,0,0,11,0,6.81564,7
6,50,1,1,0,0,1,0,1,12,0,5.65249,1
7,51,1,1,0,0,1,0,1,12,0,6.43615,2
8,50,1,1,0,0,1,0,1,12,0,6.54822,3
9,52,1,1,0,0,1,0,1,12,0,6.60259,4
10,52,1,1,0,0,1,0,1,12,0,6.6958,5
11,52,1,1,0,0,0,0,1,12,0,6.77878,6
12,46,1,1,0,0,0,0,1,12,0,6.86066,7
31,52,1,0,0,1,0,1,0,10,1,6.15698,1
32,46,1,0,0,1,0,1,0,10,1,6.23832,2
33,46,1,0,0,1,0,1,0,10,1,6.30079,3
34,49,1,0,0,1,0,1,0,10,1,6.35957,4
35,44,1,0,0,1,0,1,0,10,1,6.46925,5
36,52,1,0,0,1,0,1,0,10,1,6.56244,6
37,46,1,0,0,1,0,1,0,10,1,6.62141,7
10,50,1,0,0,0,1,0,1,16,0,6.43775,1
11,46,1,0,0,0,1,0,1,16,0,6.62007,2
12,40,1,0,0,0,1,0,1,16,0,6.63332,3
13,50,0,0,0,0,1,0,0,16,0,6.98286,4
14,47,1,0,0,1,1,0,0,16,0,7.04752,5
15,47,0,0,0,0,1,0,0,16,0,7.31322,6
16,49,0,0,0,0,1,0,0,16,0,7.29574,7
26,44,1,1,0,1,1,0,0,12,0,6.90575,1
27,47,1,1,0,1,1,0,0,12,0,6.90575,2
28,47,1,1,0,1,1,0,0,12,0,6.90776,3
29,47,1,1,0,1,1,0,0,12,0,7.00307,4
30,44,1,1,0,1,1,0,0,12,0,7.06902,5
31,45,1,1,0,1,1,0,0,12,0,7.52023,6
32,47,1,1,0,1,1,0,0,12,0,7.33889,7
15,46,1,0,0,0,1,0,1,12,0,6.1334,1
16,48,1,0,0,0,1,0,1,12,0,6.17379,2
17,49,1,0,0,0,1,0,1,12,0,6.21261,3
18,46,1,0,0,0,1,0,1,12,0,6.31355,4
19,47,1,0,0,0,1,0,1,12,0,6.37502,5
20,47,1,0,0,0,1,0,1,12,0,6.44572,6
21,48,1,0,0,0,1,0,1,12,0,6.52209,7
23,51,1,1,1,0,1,0,1,10,0,6.3315,1
24,50,1,1,1,0,1,0,1,10,0,6.40357,2
25,50,1,1,1,0,1,0,1,10,0,6.54391,3
26,50,1,1,1,0,1,0,1,10,0,6.56244,4
27,44,1,1,0,1,1,0,1,10,0,6.59167,5
28,51,1,1,0,1,1,0,1,10,0,6.81783,6
29,51,1,1,0,1,1,0,1,10,0,6.89163,7
3,50,0,0,1,1,1,0,0,16,0,6.55108,1
4,48,0,0,1,1,1,0,0,16,0,6.55108,2
5,50,0,0,1,1,1,0,0,16,0,6.80239,3
6,48,0,0,1,1,1,0,0,16,0,6.90776,4
7,48,0,0,1,1,1,0,0,16,0,7.09008,5
8,44,0,0,1,1,1,0,0,16,0,7.17012,6
9,48,0,0,1,1,1,0,0,16,0,7.20786,7
3,49,0,0,1,1,1,0,0,16,0,6.39693,1
4,47,0,0,1,1,1,0,0,16,0,6.43775,2
5,46,0,0,1,1,1,0,0,16,0,6.43775,3
6,44,0,0,1,1,1,0,0,16,0,6.43775,4
7,43,0,0,1,1,1,0,0,16,0,6.52209,5
8,34,0,0,1,1,1,0,0,16,0,6.61338,6
9,40,0,0,1,1,1,0,0,16,0,6.73934,7
24,47,1,0,0,1,0,0,1,12,0,6.65801,1
25,48,1,0,0,1,0,0,1,12,0,6.72623,2
26,45,1,0,0,1,0,0,1,12,0,6.80239,3
27,45,1,0,0,1,1,0,1,12,0,6.90776,4
28,47,1,0,0,1,1,0,1,12,0,7.03966,5
29,17,1,0,0,1,1,0,1,12,0,7.12769,6
30,47,1,0,0,1,1,0,1,12,0,7.24423,7
21,47,1,0,1,1,1,0,1,12,0,6.55108,1
22,46,1,0,1,1,1,0,1,12,0,6.62936,2
23,47,1,0,1,1,1,0,1,12,0,6.72263,3
24,47,1,0,1,1,1,0,1,12,0,6.7334,4
25,47,1,0,1,1,1,0,1,12,0,6.72263,5
26,47,1,0,1,1,1,0,1,12,0,6.95177,6
27,46,1,0,1,1,1,0,1,12,0,7.05272,7
26,48,1,0,1,1,1,0,0,12,0,6.90575,1
27,48,1,0,1,1,1,0,0,12,0,6.90073,2
28,50,1,0,1,1,1,0,0,12,0,7.17012,3
29,48,1,0,1,1,1,0,0,12,0,7.26543,4
30,48,1,0,1,1,1,0,0,12,0,7.25912,5
31,46,0,0,1,1,1,0,0,12,0,7.25488,6
32,46,1,0,1,1,1,0,0,12,0,7.40001,7
15,45,0,0,1,1,1,0,0,17,0,6.80239,1
16,45,0,0,1,1,1,0,0,17,0,6.80239,2
17,45,0,0,1,1,1,0,0,17,0,6.9256,3
18,44,0,0,1,1,1,0,0,17,0,7.00307,4
19,44,0,0,1,1,1,0,0,17,0,7.1309,5
20,44,0,0,1,1,1,0,0,17,0,7.12448,6
21,44,0,0,1,1,1,0,0,17,0,7.12287,7
9,50,0,0,0,0,0,1,0,14,0,5.94017,1
10,46,0,0,0,0,0,1,0,14,0,5.86079,2
11,48,0,0,0,0,0,1,0,14,0,5.99894,3
12,46,0,0,0,0,0,1,0,14,0,6.0845,4
13,48,0,0,0,0,0,1,0,14,0,6.39526,5
14,41,0,0,0,0,0,1,0,14,0,6.47697,6
15,48,0,0,0,0,0,1,0,14,0,6.47697,7
16,50,1,0,1,1,0,1,0,12,1,5.97889,1
17,50,1,0,1,1,0,1,0,12,1,5.78383,2
18,48,1,0,1,1,0,1,0,12,1,5.85793,3
19,48,1,0,1,1,0,1,0,12,1,5.95324,4
20,50,1,0,1,1,0,1,0,12,1,6.14633,5
21,50,1,0,1,1,0,1,0,12,1,6.17587,6
22,49,1,0,1,1,0,1,0,12,1,6.38856,7
16,49,0,1,0,0,1,0,0,14,0,6.62007,1
17,48,0,1,0,0,1,0,0,14,0,6.49224,2
18,49,0,1,0,0,1,0,0,14,0,6.77992,3
19,50,0,1,0,0,1,0,0,14,0,6.74524,4
20,51,0,1,0,0,1,0,0,14,0,7.09008,5
21,46,0,1,0,0,1,0,0,14,0,7.1309,6
22,47,0,1,0,0,1,0,0,14,0,7.1309,7
25,47,0,1,1,1,1,0,0,16,0,6.90575,1
26,46,0,1,1,1,1,0,0,16,0,6.90575,2
27,47,0,1,1,1,1,0,0,16,0,7.6009,3
28,47,0,1,1,1,1,0,0,16,0,7.64969,4
29,47,0,1,1,1,1,0,0,16,0,7.71869,5
30,48,0,1,1,1,1,0,0,16,0,7.78322,6
31,47,0,1,1,1,1,0,0,16,0,7.80384,7
40,37,1,1,0,1,1,0,1,12,0,6.38688,1
41,49,1,1,0,1,1,0,1,12,0,6.47389,2
42,50,1,1,0,1,1,0,1,12,0,6.54247,3
43,47,1,1,0,1,1,0,1,12,0,6.67582,4
44,47,1,1,0,1,1,0,1,12,0,6.7417,5
45,25,1,1,0,1,1,0,1,12,0,6.83195,6
46,40,1,1,0,1,1,0,1,12,0,6.93634,7
25,50,0,0,0,0,1,0,0,16,0,6.78333,1
26,49,0,1,0,0,1,0,0,16,0,6.85751,2
27,49,0,1,0,0,1,0,0,16,0,6.98472,3
28,48,0,1,0,0,1,0,0,16,0,7.0579,4
29,48,0,1,0,0,1,0,0,16,0,7.20564,5
30,49,0,1,0,0,1,0,0,16,0,7.10988,6
31,48,0,1,0,0,1,0,0,16,0,7.26683,7
28,42,1,1,1,0,1,0,1,4,0,6.05912,1
29,46,1,1,1,0,1,0,1,4,0,6.05209,2
30,49,1,1,1,0,1,0,1,4,0,5.99146,3
